rank_group,count,share,exact_rank_mean,exact_rank_median,exact_similarity_mean,exact_similarity_median,jaccard_mean,jaccard_median,max_containment_mean,max_containment_median,query_unique_count_mean,query_unique_count_median,candidate_unique_count_mean,candidate_unique_count_median,query_cardinality_ratio_mean,query_cardinality_ratio_median,candidate_cardinality_ratio_mean,candidate_cardinality_ratio_median,query_numeric_ratio_mean,query_numeric_ratio_median,candidate_numeric_ratio_mean,candidate_numeric_ratio_median,query_date_like_ratio_mean,query_date_like_ratio_median,candidate_date_like_ratio_mean,candidate_date_like_ratio_median,query_avg_length_mean,query_avg_length_median,candidate_avg_length_mean,candidate_avg_length_median,query_entropy_mean,query_entropy_median,candidate_entropy_mean,candidate_entropy_median,high_overlap_missed_count,high_jaccard_missed_count,low_overlap_missed_count,numeric_or_date_missed_count,high_cardinality_missed_count
rank_101_1000,16585,0.30588907947398514,244.74428700633104,197.0,0.6649096479428832,0.7185795307159424,0.12347648962010065,0.0263157894736842,0.27210911126060033,0.0833333333333333,48.22906240578836,26.0,27.208139885438648,15.0,0.6239800564563981,0.7063492063492064,0.6677024630492315,0.8,0.5087819916965299,1.0,0.5950679102156435,0.9642857142857144,0.018329816098884535,0.0,0.00548688574012662,0.0,4.476176723379242,3.727272727272727,5.505505914786132,3.906432748538012,4.558096320767642,4.537203732789134,3.750032019651741,3.766150648454356,2875,1501,10021,10777,5537
rank_1_10,18293,0.33739095151146276,2.893019187667414,1.0,0.9289205594779768,0.9999996423721312,0.6931773881422986,1.0,0.7736279304572594,1.0,16.27502323293063,11.0,17.286885693981304,11.0,0.6745309584046257,0.8,0.6681410287884866,0.78125,0.44432465961052275,0.0,0.44387922297340815,0.0,0.005268864228575593,0.0,0.005198716337723138,0.0,4.483936145529812,3.727272727272727,4.479659150263827,3.727272727272727,3.019675479587942,3.459431618637298,3.05332572390575,3.459431618637298,0,0,0,0,0
rank_11_100,16860,0.3109611021966469,43.35480427046264,37.0,0.7853703401266893,0.8335235118865967,0.2101441836827591,0.1,0.38309083093658286,0.2666666666666666,26.579715302491103,16.0,23.599169632265717,14.0,0.5591854142563085,0.5789473684210527,0.5829834488805961,0.6296296296296297,0.6438213421667055,1.0,0.6339123538776297,0.9620253164556962,0.01608936338473705,0.0,0.01525699872329531,0.0,4.525163538933656,3.5597014925373136,4.593826013231753,3.522902097902098,3.4706875811215734,3.6471514096366695,3.357318429484224,3.446439344671016,0,0,0,0,0
rank_gt_1000,2481,0.04575886681790516,4008.7976622329707,2517.0,0.17871421506175683,0.1922343671321869,0.005023689006349866,0.0,0.05598787928567785,0.0,36.09512293430068,22.0,16.135832325675132,10.0,0.5718902769379116,0.6204819277108434,0.6591835594548173,0.75,0.20575069193552423,0.0,0.23345368590705712,0.0,0.11739889829369878,0.0,0.017412333736396616,0.0,6.376515342147147,4.7745098039215685,9.952808897091627,6.85,4.208172021766379,4.39231742277876,3.060054819482715,3.2841837197791888,124,0,2319,1017,530
